Subject,Start Date,End Date,Start Time,End Time
EXAMENS ou Réserve,01/04/21,01/04/21,9:00 AM,10:30 AM
"Anglais GA, IELTS",01/11/21,01/11/21,9:00 AM,10:30 AM
"Anglais 1,2,3,4",01/11/21,01/11/21,10:45 AM,12:45 PM
"Lang. Formel
Cours",01/12/21,01/12/21,9:00 AM,10:30 AM
"TD Lang. Formel
G1/B107
G2/B108",01/12/21,01/12/21,10:45 AM,12:45 PM
"IAS Cours
G Amphi",01/14/21,01/14/21,2:00 PM,3:30 PM
"TP IAS G2/E202
G3/E203
G7/E204",01/14/21,01/14/21,3:45 PM,5:45 PM
9h-12h Asynchrone Intro. à l'Optimisation Combinatoire Cours,01/15/21,01/15/21,9:00 AM,12:45 PM
"Anglais
Magistère Salle
315",01/11/21,01/11/21,9:00 AM,10:30 AM
"Anglais GB, IELTS",01/11/21,01/11/21,10:45 AM,12:45 PM
IA Cours P.Amphi,01/15/21,01/15/21,2:00 PM,5:45 PM
"Anglais GA, IELTS",01/18/21,01/18/21,9:00 AM,10:30 AM
"Anglais 1,2,3,4",01/18/21,01/18/21,10:45 AM,12:45 PM
Projet PFA G1/E202,01/18/21,01/18/21,2:00 PM,5:45 PM
"Lang. Formel
Cours",01/19/21,01/19/21,9:00 AM,10:30 AM
"TD Lang. Formel
G1/B107
G2/B108",01/19/21,01/19/21,10:45 AM,12:45 PM
"IAS Cours
G Amphi",01/21/21,01/21/21,2:00 PM,3:30 PM
"TP IAS G2/E202
G3/E203
G7/E204",01/21/21,01/21/21,3:45 PM,5:45 PM
9h-12h Asynchrone Intro. à l'Optimisation Combinatoire Cours,01/22/21,01/22/21,9:00 AM,12:45 PM
"Anglais
Magistère Salle
315",01/18/21,01/18/21,9:00 AM,10:30 AM
"Anglais GB, IELTS",01/18/21,01/18/21,10:45 AM,12:45 PM
IA Cours P.Amphi,01/22/21,01/22/21,2:00 PM,5:45 PM
"Anglais GA, IELTS",01/25/21,01/25/21,9:00 AM,10:30 AM
"Anglais 1,2,3,4",01/25/21,01/25/21,10:45 AM,12:45 PM
Projet PFA G1/E202,01/25/21,01/25/21,2:00 PM,5:45 PM
"Lang. Formel
Cours",01/26/21,01/26/21,9:00 AM,10:30 AM
"TD Lang. Formel
G1/B107
G2/B108",01/26/21,01/26/21,10:45 AM,12:45 PM
"BD 2 Cours
G Amphi",01/26/21,01/26/21,2:00 PM,3:00 PM
"TP BD2 G1/E202, G2/E205, G3/D103, G7/C106",01/26/21,01/26/21,3:15 PM,4:45 PM
"IAS Cours
G Amphi",01/28/21,01/28/21,2:00 PM,3:30 PM
"TP IAS G2/E202
G3/E203
G7/E204",01/28/21,01/28/21,3:45 PM,5:45 PM
9h-12h15 Hybride Intro. à l'Optimisation Combinatoire D203,01/29/21,01/29/21,9:00 AM,12:45 PM
"Anglais
Magistère Salle
315",01/25/21,01/25/21,9:00 AM,10:30 AM
"Anglais GB, IELTS",01/25/21,01/25/21,10:45 AM,12:45 PM
"IA Cours
P.Amphi",01/29/21,01/29/21,2:00 PM,5:45 PM
